Year,Series_conference,Series_round,Date_start,Date_end,Team_win,Seed_win,Wins_win,Team_lose,Seed_lose,Wins_lose,Fav_team,Fav_odds,Underdog_team,Underdog_odds
1984,E,3,1984-04-17,1984-04-26,Milwaukee Bucks,2,3,Atlanta Hawks,7,2,NA,0,NA,0
1984,E,3,1984-04-18,1984-04-26,New Jersey Nets,6,3,Philadelphia 76ers,3,2,NA,0,NA,0
1984,E,3,1984-04-17,1984-04-27,New York Knicks,5,3,Detroit Pistons,4,2,NA,0,NA,0
1984,W,3,1984-04-17,1984-04-26,Dallas Mavericks,4,3,Seattle SuperSonics,5,2,NA,0,NA,0
1984,W,3,1984-04-18,1984-04-22,Los Angeles Lakers,1,3,Kansas City Kings,8,0,NA,0,NA,0
1984,W,3,1984-04-18,1984-04-26,Phoenix Suns,6,3,Portland Trail Blazers,3,2,NA,0,NA,0
1984,W,3,1984-04-17,1984-04-26,Utah Jazz,2,3,Denver Nuggets,7,2,NA,0,NA,0
1984,E,2,1984-04-29,1984-05-13,Boston Celtics,1,4,New York Knicks,5,3,NA,0,NA,0
1984,E,2,1984-04-29,1984-05-10,Milwaukee Bucks,2,4,New Jersey Nets,6,2,NA,0,NA,0
1984,W,2,1984-04-28,1984-05-08,Los Angeles Lakers,1,4,Dallas Mavericks,4,1,NA,0,NA,0
1984,W,2,1984-04-29,1984-05-10,Phoenix Suns,6,4,Utah Jazz,2,2,NA,0,NA,0
1984,E,1,1984-05-15,1984-05-23,Boston Celtics,1,4,Milwaukee Bucks,2,1,NA,0,NA,0
1984,W,1,1984-05-12,1984-05-25,Los Angeles Lakers,1,4,Phoenix Suns,6,2,NA,0,NA,0
1984,F,0,1984-05-27,1984-06-12,Boston Celtics,1,4,Los Angeles Lakers,1,3,NA,0,NA,0
1983,E,3,1983-04-19,1983-04-24,Boston Celtics,3,2,Atlanta Hawks,6,1,NA,0,NA,0
1983,E,3,1983-04-20,1983-04-21,New York Knicks,5,2,New Jersey Nets,4,0,NA,0,NA,0
1983,W,3,1983-04-19,1983-04-24,Denver Nuggets,6,2,Phoenix Suns,3,1,NA,0,NA,0
1983,W,3,1983-04-20,1983-04-22,Portland Trail Blazers,5,2,Seattle SuperSonics,4,0,NA,0,NA,0
1983,E,2,1983-04-27,1983-05-02,Milwaukee Bucks,2,4,Boston Celtics,3,0,NA,0,NA,0
1983,E,2,1983-04-24,1983-05-01,Philadelphia 76ers,1,4,New York Knicks,5,0,NA,0,NA,0
1983,W,2,1983-04-24,1983-05-03,Los Angeles Lakers,1,4,Portland Trail Blazers,5,1,NA,0,NA,0
1983,W,2,1983-04-26,1983-05-04,San Antonio Spurs,2,4,Denver Nuggets,6,1,NA,0,NA,0
1983,E,1,1983-05-08,1983-05-18,Philadelphia 76ers,1,4,Milwaukee Bucks,2,1,NA,0,NA,0
1983,W,1,1983-05-08,1983-05-20,Los Angeles Lakers,1,4,San Antonio Spurs,2,2,NA,0,NA,0
1983,F,0,1983-05-22,1983-05-31,Philadelphia 76ers,1,4,Los Angeles Lakers,1,0,NA,0,NA,0
