country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Italy,Germany,92,82,2507,17,Giampaolo Ricci,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Italy,Germany,92,82,2507,24,Riccardo Moraschini,11:15,8,2/4,1/2,1/2,3/3,1,1,2,1,0,1,0,0,3,8
Italy,Germany,92,82,2507,31,Michele Vitali,07:10,3,1/1,0/0,1/1,0/0,0,2,2,1,0,0,0,0,7,6
Italy,Germany,92,82,2507,33,Achille Polonara,23:18,0,0/6,0/0,0/6,0/0,0,4,4,1,1,1,0,2,-13,0
Italy,Germany,92,82,2507,54,Alessandro Pajola,17:44,2,1/1,1/1,0/0,0/0,0,3,3,2,3,0,2,0,13,9
Australia,Nigeria,84,67,2507,4,Chris Goulding,06:03,0,0/2,0/1,0/1,0/0,0,0,0,0,0,1,0,0,-6,-3
Australia,Nigeria,84,67,2507,5,Patty Mills,34:32,25,7/16,2/8,5/8,6/8,2,2,4,6,2,3,4,0,20,25
Australia,Nigeria,84,67,2507,6,Josh Green,05:45,0,0/1,0/1,0/0,0/0,2,0,2,0,1,0,2,0,-1,3
Australia,Nigeria,84,67,2507,7,Joe Ingles,32:28,11,4/12,2/7,2/5,1/1,0,4,4,3,2,3,0,0,11,7
Australia,Nigeria,84,67,2507,8,Matthew Dellavedova,16:04,8,2/5,0/1,2/4,2/2,0,3,3,3,2,2,0,0,9,9
Australia,Nigeria,84,67,2507,9,Nathan Sobey,01:51,0,0/0,0/0,0/0,0/0,0,0,0,0,0,1,0,0,-1,-1
Australia,Nigeria,84,67,2507,10,Matisse Thybulle,23:10,7,3/6,2/4,1/2,0/0,1,3,4,2,3,2,5,0,19,13
Australia,Nigeria,84,67,2507,11,Dante Exum,24:16,11,4/11,3/9,1/2,2/2,1,4,5,3,1,5,1,0,6,8
Australia,Nigeria,84,67,2507,12,Aron Baynes,15:18,4,2/5,2/5,0/0,0/0,1,4,5,0,1,2,0,0,5,4
Australia,Nigeria,84,67,2507,13,Jock  Landale,13:11,4,0/2,0/1,0/1,4/4,0,3,3,1,4,1,0,0,8,5
