country,vs,team_score,vs_score,#,Players,Pts,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF,FGS,FGA,2PtsS,2PtsA,3PtsS,3PtsA,FTS,FTA,day,month,Sec
Italy,Germany,92,82,17,Giampaolo Ricci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,07,0
Italy,Germany,92,82,24,Riccardo Moraschini,8,1,1,2,1,0,1,0,0,3,8,2,4,1,2,1,2,3,3,25,07,675
Italy,Germany,92,82,31,Michele Vitali,3,0,2,2,1,0,0,0,0,7,6,1,1,0,0,1,1,0,0,25,07,430
Italy,Germany,92,82,33,Achille Polonara,0,0,4,4,1,1,1,0,2,-13,0,0,6,0,0,0,6,0,0,25,07,1398
Italy,Germany,92,82,54,Alessandro Pajola,2,0,3,3,2,3,0,2,0,13,9,1,1,1,1,0,0,0,0,25,07,1064
Australia,Nigeria,84,67,4,Chris Goulding,0,0,0,0,0,0,1,0,0,-6,-3,0,2,0,1,0,1,0,0,25,07,363
Australia,Nigeria,84,67,5,Patty Mills,25,2,2,4,6,2,3,4,0,20,25,7,16,2,8,5,8,6,8,25,07,2072
Australia,Nigeria,84,67,6,Josh Green,0,2,0,2,0,1,0,2,0,-1,3,0,1,0,1,0,0,0,0,25,07,345
Australia,Nigeria,84,67,7,Joe Ingles,11,0,4,4,3,2,3,0,0,11,7,4,12,2,7,2,5,1,1,25,07,1948
Australia,Nigeria,84,67,8,Matthew Dellavedova,8,0,3,3,3,2,2,0,0,9,9,2,5,0,1,2,4,2,2,25,07,964
Australia,Nigeria,84,67,9,Nathan Sobey,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,25,07,111
Australia,Nigeria,84,67,10,Matisse Thybulle,7,1,3,4,2,3,2,5,0,19,13,3,6,2,4,1,2,0,0,25,07,1390
Australia,Nigeria,84,67,11,Dante Exum,11,1,4,5,3,1,5,1,0,6,8,4,11,3,9,1,2,2,2,25,07,1456
Australia,Nigeria,84,67,12,Aron Baynes,4,1,4,5,0,1,2,0,0,5,4,2,5,2,5,0,0,0,0,25,07,918
Australia,Nigeria,84,67,13,Jock  Landale,4,0,3,3,1,4,1,0,0,8,5,0,2,0,1,0,1,4,4,25,07,791
